year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,5,14,annex01,RREO-Anexo 01,452,downloaded,,2026-05-28
2015,5,14,annex02,RREO-Anexo 02,1087,downloaded,,2026-05-28
2015,5,14,annex06,RREO-Anexo 06,159,downloaded,,2026-05-28
2015,5,15,annex01,RREO-Anexo 01,474,downloaded,,2026-05-28
2015,5,15,annex02,RREO-Anexo 02,1411,downloaded,,2026-05-28
2015,5,15,annex06,RREO-Anexo 06,169,downloaded,,2026-05-28
2015,5,16,annex01,RREO-Anexo 01,453,downloaded,,2026-05-28
2015,5,16,annex02,RREO-Anexo 02,1099,downloaded,,2026-05-28
2015,5,16,annex06,RREO-Anexo 06,147,downloaded,,2026-05-28
2015,5,17,annex01,RREO-Anexo 01,517,downloaded,,2026-05-28
2015,5,17,annex02,RREO-Anexo 02,1197,downloaded,,2026-05-28
2015,5,17,annex06,RREO-Anexo 06,169,downloaded,,2026-05-28
2015,5,21,annex01,RREO-Anexo 01,379,downloaded,,2026-05-28
2015,5,21,annex02,RREO-Anexo 02,1286,downloaded,,2026-05-28
2015,5,21,annex06,RREO-Anexo 06,149,downloaded,,2026-05-28
2015,5,22,annex01,RREO-Anexo 01,455,downloaded,,2026-05-28
2015,5,22,annex02,RREO-Anexo 02,1082,downloaded,,2026-05-28
2015,5,22,annex06,RREO-Anexo 06,156,downloaded,,2026-05-28
2015,5,23,annex01,RREO-Anexo 01,511,downloaded,,2026-05-28
2015,5,23,annex02,RREO-Anexo 02,1350,downloaded,,2026-05-28
2015,5,23,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,5,24,annex01,RREO-Anexo 01,445,downloaded,,2026-05-28
2015,5,24,annex02,RREO-Anexo 02,1151,downloaded,,2026-05-28
2015,5,24,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,5,25,annex01,RREO-Anexo 01,532,downloaded,,2026-05-28
2015,5,25,annex02,RREO-Anexo 02,1317,downloaded,,2026-05-28
2015,5,25,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,5,26,annex01,RREO-Anexo 01,597,downloaded,,2026-05-28
2015,5,26,annex02,RREO-Anexo 02,1359,downloaded,,2026-05-28
2015,5,26,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,5,27,annex01,RREO-Anexo 01,485,downloaded,,2026-05-28
2015,5,27,annex02,RREO-Anexo 02,1234,downloaded,,2026-05-28
2015,5,27,annex06,RREO-Anexo 06,152,downloaded,,2026-05-28
2015,5,28,annex01,RREO-Anexo 01,467,downloaded,,2026-05-28
